Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),O/C(H),H/C(H),N/C(H),Ash(H),HHV(H),CR,ER,C(O)/C(H),HHV(O)/HHV(H)
48.7,29,0.57,1.29,0.083,11.6,91.9,163,50,79.5,27,0.331,1.289,0.051,56,11.1,74.017,76.073,0.931034483,0.956896552
48.7,29,0.57,1.29,0.083,11.6,91.9,180,30,75.5,24.9,0.346,1.205,0.052,59,9.4,64.826,61.181,0.85862069,0.810344828
48.7,29,0.57,1.29,0.083,11.6,91.9,180,70,77.8,28.2,0.231,1.319,0.046,57,11.8,75.654,79.141,0.972413793,1.017241379
48.7,29,0.57,1.29,0.083,11.6,91.9,220,22,76.3,26.9,0.195,1.115,0.048,61,10.9,70.775,71.696,0.927586207,0.939655172
48.7,29,0.57,1.29,0.083,11.6,91.9,220,50,69.9,26.8,0.126,1.164,0.045,64,10.9,64.597,65.682,0.924137931,0.939655172
48.7,29,0.57,1.29,0.083,11.6,91.9,220,50,72.8,23,0.215,1.132,0.045,65,9.3,57.738,58.366,0.793103448,0.801724138
48.7,29,0.57,1.29,0.083,11.6,91.9,220,50,73.8,24.7,0.188,1.069,0.049,65,9.3,62.857,59.167,0.851724138,0.801724138
48.7,29,0.57,1.29,0.083,11.6,91.9,220,78,75,25.1,0.23,1.195,0.044,62,10.2,64.914,65.948,0.865517241,0.879310345
48.7,29,0.57,1.29,0.083,11.6,91.9,260,30,73.4,23.2,0.281,1.138,0.041,63,9.6,58.72,60.745,0.8,0.827586207
48.7,29,0.57,1.29,0.083,11.6,91.9,260,70,71.9,27.2,0.036,1.191,0.041,67,11.4,67.437,70.66,0.937931034,0.982758621
48.7,29,0.57,1.29,0.083,11.6,91.9,277,50,69.9,24.4,0.16,1.131,0.042,68,10.3,58.812,62.066,0.84137931,0.887931034
25.66,40.11,0.44,1.59,0.093,17.17,90.5,180,60,62.32,45.82,0.144,1.215,0.096,34.51,19.75,71.192,71.684,1.142358514,1.150262085
29.56,38.49,0.5,1.72,0.114,16.66,90.5,180,60,68.32,38.02,0.315,1.493,0.101,35.99,16.31,67.486,66.885,0.987789036,0.978991597
31.77,34.78,0.438,1.356,0.124,16.61,95.71,160,30,68.8,35.53,0.326,1.415,0.123,38.63,16.97,70.28,70.05,1.021564117,1.021673691
31.77,34.78,0.438,1.356,0.124,16.61,95.71,220,30,73.4,33.21,0.331,1.413,0.052,45.11,14.33,70.11,70.62,0.954859114,0.862733293
31.77,34.78,0.438,1.356,0.124,16.61,95.71,250,30,56.8,38.03,0.291,1.543,0.095,36.88,17.8,62.04,61.22,1.093444508,1.071643588
36.7,33.3,0.457,1.658,0.103,14.4,97.5,250,30,68,32.1,0.22,1.57,0.051,51.2,15.4,65.55,72.722,0.963963964,1.069444444
36.7,33.3,0.457,1.658,0.103,14.4,95,250,30,72,32.3,0.239,1.56,0.056,50,15.3,69.838,76.5,0.96996997,1.0625
36.7,33.3,0.457,1.658,0.103,14.4,90,250,30,75,33.1,0.238,1.595,0.06,48.4,15.8,74.55,82.292,0.993993994,1.097222222
36.7,33.3,0.457,1.658,0.103,14.4,85,250,30,74,33,0.223,1.564,0.06,49.4,15.7,73.333,80.681,0.990990991,1.090277778
36.7,33.3,0.457,1.658,0.103,14.4,82.5,250,30,75,33.1,0.213,1.559,0.06,49.7,15.6,74.55,81.25,0.993993994,1.083333333
36.7,33.3,0.457,1.658,0.103,14.4,80,250,30,76,33.8,0.215,1.527,0.061,48.6,15.9,77.141,83.917,1.015015015,1.104166667
36.7,33.3,0.457,1.658,0.103,14.4,75,250,30,76,33.8,0.22,1.527,0.066,48,16,77.141,84.444,1.015015015,1.111111111
36.7,33.3,0.457,1.658,0.103,14.4,70,250,30,75,34.4,0.19,1.535,0.07,48.5,16.5,77.477,85.938,1.033033033,1.145833333
19.79,39.43,0.53,1.57,0.154,16.64,75,180,240,64,43.33,0.28,1.35,0.101,20.35,18.64,70.33,71.64,1.09890946,1.120192308
19.79,39.43,0.53,1.57,0.154,16.64,75,210,240,55.4,46.18,0.13,1.2,0.088,35.42,20.07,64.884,66.83,1.17118945,1.206129808
19.79,39.43,0.53,1.57,0.154,16.64,75,250,240,51.5,47.15,0.1,1.15,0.081,37.23,20.43,61.583,63.23,1.195790008,1.227764423
24.2,34.23,0.663,2.251,0.104,13.3,77.2,180,30,77.939,42.27,0.27,1.505,0.083,32.06,19.94,96.245,116.849,1.234881683,1.49924812
24.2,34.23,0.663,2.251,0.104,13.3,77.2,200,15,78.119,43.11,0.241,1.523,0.074,32.81,19.9,98.385,116.885,1.25942156,1.496240602
24.2,34.23,0.663,2.251,0.104,13.3,77.2,200,30,61.088,42.15,0.243,1.509,0.081,33.86,19.85,75.222,91.172,1.231375986,1.492481203
24.2,34.23,0.663,2.251,0.104,13.3,77.2,200,60,61.51,43.98,0.205,1.514,0.082,33.12,20.12,79.03,93.051,1.284837862,1.512781955
24.2,34.23,0.663,2.251,0.104,13.3,77.2,220,30,61.316,43.94,0.202,1.477,0.074,33.9,20.16,78.709,92.942,1.283669296,1.515789474
30.8,34.2,0.53,1.81,0.138,14.811,88,190,180,83.3,26.9,0.57,2.28,0.096,44.5,12.252,65.52,68.907,0.786549708,0.82722301
30.8,34.2,0.53,1.81,0.138,14.811,88,220,180,76.3,28.2,0.49,1.7,0.055,47.5,11.568,62.914,59.595,0.824561404,0.781041118
30.8,34.2,0.53,1.81,0.138,14.811,88,250,180,62.9,36.3,0.17,1.65,0.118,45,16.594,66.762,70.475,1.061403509,1.120383499
51.9,18.567,0.933,2.182,0.14,6.88,80,150,120,92.8,12.543,0.752,2.3,0.095,71.1,4.32,62.691,58.264,0.675553401,0.627906977
51.9,18.567,0.933,2.182,0.14,6.88,80,180,120,85.7,11.942,0.636,2.242,0.071,74.7,4.086,55.12,50.896,0.643184144,0.593895349
51.9,18.567,0.933,2.182,0.14,6.88,80,200,120,84.2,11.64,0.615,2.137,0.06,75.9,3.829,52.789,46.863,0.626918727,0.556540698
51.9,18.567,0.933,2.182,0.14,6.88,80,220,120,83.5,11.566,0.607,2.095,0.055,76.3,3.751,52.014,45.529,0.622933161,0.545203488
51.9,18.567,0.933,2.182,0.14,6.88,80,250,120,82.6,11.033,0.43,2.021,0.05,77.8,3.658,49.086,43.915,0.594226316,0.531686047
51.9,18.567,0.933,2.182,0.14,6.88,80,300,120,79.7,11.348,1.032,1.985,0.059,80.4,2.77,48.715,32.092,0.6111919,0.402616279
13.6,43,0.537,1.647,0.128,18.5,89.5,170,60,48.5,46.3,0.389,1.607,0.122,16.4,20.6,52.222,54.005,1.076744186,1.113513514
13.6,43,0.537,1.647,0.128,18.5,89.5,230,60,29.7,50.5,0.177,1.331,0.107,25.3,22.4,34.88,35.961,1.174418605,1.210810811
35.03,47.01,0.168,1.595,0.022,22.21,60.002,180,30,82.42,46.95,0.092,1.549,0.017,40.3,22.38,82.315,83.051,0.998723676,1.00765421
35.03,47.01,0.168,1.595,0.022,22.21,60,200,30,85.11,46.41,0.13,1.616,0.019,38.02,22.54,84.024,86.375,0.987236758,1.014858172
35.03,47.01,0.168,1.595,0.022,22.21,60,220,30,84.78,47.69,0.069,1.553,0.015,40.88,22.88,86.006,87.338,1.014465007,1.030166592
35.03,47.01,0.168,1.595,0.022,22.21,60,240,30,84.91,47.46,0.104,1.259,0.013,40.27,17.98,85.723,68.738,1.009572431,0.80954525
35.03,47.01,0.168,1.595,0.022,22.21,60,260,30,80.76,45.43,0.115,1.484,0.016,41.16,21.19,78.046,77.051,0.96639013,0.954074741
35.03,47.01,0.168,1.595,0.022,22.21,60,280,30,72.94,47.28,0.05,1.477,0.015,42.91,22.43,73.359,73.663,1.005743459,1.009905448
35.03,47.01,0.168,1.595,0.022,22.21,60,300,30,69.26,44.35,0.138,1.656,0.017,40.53,21.35,65.341,66.578,0.943416294,0.961278703
30.48,33.3,0.594,1.694,0.133,13.78,91.63,200,60,55.2,33,0.394,1.585,0.124,40.5,13.99,54.703,56.041,0.990990991,1.015239478
30.48,33.3,0.594,1.694,0.133,13.78,91.63,200,240,54.8,32.7,0.372,1.358,0.108,43.25,13.17,53.813,52.374,0.981981982,0.955732946
30.48,33.3,0.594,1.694,0.133,13.78,91.63,200,300,53.7,32.5,0.33,1.477,0.1,45.39,13.61,52.41,53.038,0.975975976,0.98766328
30.48,33.3,0.594,1.694,0.133,13.78,91.63,200,480,47.9,33,0.33,1.455,0.081,44.38,13.68,47.468,47.552,0.990990991,0.992743106
46.8,23.43,0.667,2.254,0.143,10.65,80,250,300,41.3,16.84,0.407,1.746,0.096,69.39,7.66,29.684,29.705,0.718736662,0.719248826
29.8,40.3,0.361,1.727,0.1,18,90,200,30,72.9,38.4,0.232,1.625,0.06,41.8,18.2,69.5,71.5,0.952853598,1.011111111
29.8,40.3,0.361,1.727,0.1,18,90,200,60,64.5,39,0.231,1.6,0.059,41.1,18.4,64.3,65.9,0.967741935,1.022222222
29.8,40.3,0.361,1.727,0.1,18,90,200,120,56.8,40.1,0.2,1.556,0.051,41.6,19,56.4,58.1,0.995037221,1.055555556
29.8,40.3,0.361,1.727,0.1,18,90,250,30,66,41.2,0.137,1.602,0.042,43.8,20.4,67.3,72.7,1.022332506,1.133333333
29.8,40.3,0.361,1.727,0.1,18,90,250,60,62.8,39.5,0.116,1.549,0.043,47.3,18.4,61.5,66.1,0.980148883,1.022222222
29.8,40.3,0.361,1.727,0.1,18,90,250,120,54.7,39.6,0.131,1.545,0.05,46.1,19.4,53.8,57.3,0.982630273,1.077777778
29.8,40.3,0.361,1.727,0.1,18,90,300,30,63.9,42.4,0.08,1.585,0.038,45.6,21.5,67.3,74.1,1.052109181,1.194444444
29.8,40.3,0.361,1.727,0.1,18,90,300,60,58.3,40.1,0.122,1.855,0.041,45.3,19.7,58,62,0.995037221,1.094444444
29.8,40.3,0.361,1.727,0.1,18,90,300,120,48.6,40.7,0.081,1.504,0.04,47.9,20.2,49.3,53.2,1.009925558,1.122222222
40.9,32.7,0.353,1.798,0.134,14.9,83.5,180,60,74.2,30.8,0.409,1.675,0.117,42.9,14.7,69.889,73.204,0.941896024,0.986577181
40.9,32.7,0.353,1.798,0.134,14.9,83.5,210,60,67.5,31.8,0.351,1.623,0.111,43.9,14.9,65.642,67.5,0.972477064,1
40.9,32.7,0.353,1.798,0.134,14.9,83.5,240,60,51.8,32.6,0.23,1.509,0.108,48.1,15.1,51.642,52.495,0.996941896,1.013422819
40.06,29.6,0.51,1.743,0.126,14.34,97.56,200,240,64,26.2,0.318,1.438,0.076,55.8,11.4,56.649,50.879,0.885135135,0.794979079
60.3,20.9,0.484,1.435,0.078,7.565,72.8,200,60,65,25.9,0.368,1.622,0.088,51.6,11.179,80.55,96.051,1.23923445,1.477726371
54.69,17.399,0.966,1.659,0.093,6.32,80,170,60,88.42,16.41,0.988,1.497,0.067,57.62,5.01,83.391,70.09,0.943157653,0.792721519
54.69,17.399,0.966,1.659,0.093,6.32,80,200,60,87.14,15.761,0.935,1.4,0.066,60.45,5.49,78.935,75.7,0.905856658,0.868670886
54.69,17.399,0.966,1.659,0.093,6.32,80,230,60,86.73,15.451,0.941,1.338,0.053,61.47,5.48,77.017,75.21,0.888039543,0.867088608
54.69,17.399,0.966,1.659,0.093,6.32,80,260,60,81.74,15.652,0.807,1.289,0.052,63.92,5.15,73.53,66.61,0.899591931,0.814873418
54.69,17.399,0.966,1.659,0.093,6.32,80,290,60,79.66,15.291,0.783,1.281,0.043,65.28,4.84,70.007,61.01,0.878843612,0.765822785
