Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),HHV(H),CR,ER
48.7,29,0.57,1.29,0.083,11.6,91.9,163,50,79.5,27,11.1,74.017,76.073
48.7,29,0.57,1.29,0.083,11.6,91.9,180,30,75.5,24.9,9.4,64.826,61.181
48.7,29,0.57,1.29,0.083,11.6,91.9,180,70,77.8,28.2,11.8,75.654,79.141
48.7,29,0.57,1.29,0.083,11.6,91.9,220,22,76.3,26.9,10.9,70.775,71.696
48.7,29,0.57,1.29,0.083,11.6,91.9,220,50,69.9,26.8,10.9,64.597,65.682
48.7,29,0.57,1.29,0.083,11.6,91.9,220,50,72.8,23,9.3,57.738,58.366
48.7,29,0.57,1.29,0.083,11.6,91.9,220,50,73.8,24.7,9.3,62.857,59.167
48.7,29,0.57,1.29,0.083,11.6,91.9,220,78,75,25.1,10.2,64.914,65.948
48.7,29,0.57,1.29,0.083,11.6,91.9,260,30,73.4,23.2,9.6,58.72,60.745
48.7,29,0.57,1.29,0.083,11.6,91.9,260,70,71.9,27.2,11.4,67.437,70.66
48.7,29,0.57,1.29,0.083,11.6,91.9,277,50,69.9,24.4,10.3,58.812,62.066
25.66,40.11,0.44,1.59,0.093,17.17,90.5,180,60,62.32,45.82,19.75,71.192,71.684
29.56,38.49,0.5,1.72,0.114,16.66,90.5,180,60,68.32,38.02,16.31,67.486,66.885
31.77,34.78,0.438,1.356,0.124,16.61,95.71,160,30,68.8,35.53,16.97,70.28,70.05
31.77,34.78,0.438,1.356,0.124,16.61,95.71,220,30,73.4,33.21,14.33,70.11,70.62
31.77,34.78,0.438,1.356,0.124,16.61,95.71,250,30,56.8,38.03,17.8,62.04,61.22
36.7,33.3,0.457,1.658,0.103,14.4,97.5,250,30,68,32.1,15.4,65.55,72.722
36.7,33.3,0.457,1.658,0.103,14.4,95,250,30,72,32.3,15.3,69.838,76.5
36.7,33.3,0.457,1.658,0.103,14.4,90,250,30,75,33.1,15.8,74.55,82.292
36.7,33.3,0.457,1.658,0.103,14.4,85,250,30,74,33,15.7,73.333,80.681
36.7,33.3,0.457,1.658,0.103,14.4,82.5,250,30,75,33.1,15.6,74.55,81.25
36.7,33.3,0.457,1.658,0.103,14.4,80,250,30,76,33.8,15.9,77.141,83.917
36.7,33.3,0.457,1.658,0.103,14.4,75,250,30,76,33.8,16,77.141,84.444
36.7,33.3,0.457,1.658,0.103,14.4,70,250,30,75,34.4,16.5,77.477,85.938
19.79,39.43,0.53,1.57,0.154,16.64,75,180,240,64,43.33,18.64,70.33,71.64
19.79,39.43,0.53,1.57,0.154,16.64,75,210,240,55.4,46.18,20.07,64.884,66.83
19.79,39.43,0.53,1.57,0.154,16.64,75,250,240,51.5,47.15,20.43,61.583,63.23
24.2,34.23,0.663,2.251,0.104,13.3,77.2,180,30,77.939,42.27,19.94,96.245,116.849
24.2,34.23,0.663,2.251,0.104,13.3,77.2,200,15,78.119,43.11,19.9,98.385,116.885
24.2,34.23,0.663,2.251,0.104,13.3,77.2,200,30,61.088,42.15,19.85,75.222,91.172
24.2,34.23,0.663,2.251,0.104,13.3,77.2,200,60,61.51,43.98,20.12,79.03,93.051
24.2,34.23,0.663,2.251,0.104,13.3,77.2,220,30,61.316,43.94,20.16,78.709,92.942
30.8,34.2,0.53,1.81,0.138,14.811,88,190,180,83.3,26.9,12.252,65.52,68.907
30.8,34.2,0.53,1.81,0.138,14.811,88,220,180,76.3,28.2,11.568,62.914,59.595
30.8,34.2,0.53,1.81,0.138,14.811,88,250,180,62.9,36.3,16.594,66.762,70.475
51.9,18.567,0.933,2.182,0.14,6.88,80,150,120,92.8,12.543,4.32,62.691,58.264
51.9,18.567,0.933,2.182,0.14,6.88,80,180,120,85.7,11.942,4.086,55.12,50.896
51.9,18.567,0.933,2.182,0.14,6.88,80,200,120,84.2,11.64,3.829,52.789,46.863
51.9,18.567,0.933,2.182,0.14,6.88,80,220,120,83.5,11.566,3.751,52.014,45.529
51.9,18.567,0.933,2.182,0.14,6.88,80,250,120,82.6,11.033,3.658,49.086,43.915
51.9,18.567,0.933,2.182,0.14,6.88,80,300,120,79.7,11.348,2.77,48.715,32.092
13.6,43,0.537,1.647,0.128,18.5,89.5,170,60,48.5,46.3,20.6,52.222,54.005
13.6,43,0.537,1.647,0.128,18.5,89.5,230,60,29.7,50.5,22.4,34.88,35.961
35.03,47.01,0.168,1.595,0.022,22.21,60.002,180,30,82.42,46.95,22.38,82.315,83.051
35.03,47.01,0.168,1.595,0.022,22.21,60,200,30,85.11,46.41,22.54,84.024,86.375
35.03,47.01,0.168,1.595,0.022,22.21,60,220,30,84.78,47.69,22.88,86.006,87.338
35.03,47.01,0.168,1.595,0.022,22.21,60,240,30,84.91,47.46,17.98,85.723,68.738
35.03,47.01,0.168,1.595,0.022,22.21,60,260,30,80.76,45.43,21.19,78.046,77.051
35.03,47.01,0.168,1.595,0.022,22.21,60,280,30,72.94,47.28,22.43,73.359,73.663
35.03,47.01,0.168,1.595,0.022,22.21,60,300,30,69.26,44.35,21.35,65.341,66.578
30.48,33.3,0.594,1.694,0.133,13.78,91.63,200,60,55.2,33,13.99,54.703,56.041
30.48,33.3,0.594,1.694,0.133,13.78,91.63,200,240,54.8,32.7,13.17,53.813,52.374
30.48,33.3,0.594,1.694,0.133,13.78,91.63,200,300,53.7,32.5,13.61,52.41,53.038
30.48,33.3,0.594,1.694,0.133,13.78,91.63,200,480,47.9,33,13.68,47.468,47.552
46.8,23.43,0.667,2.254,0.143,10.65,80,250,300,41.3,16.84,7.66,29.684,29.705
29.8,40.3,0.361,1.727,0.1,18,90,200,30,72.9,38.4,18.2,69.5,71.5
29.8,40.3,0.361,1.727,0.1,18,90,200,60,64.5,39,18.4,64.3,65.9
29.8,40.3,0.361,1.727,0.1,18,90,200,120,56.8,40.1,19,56.4,58.1
29.8,40.3,0.361,1.727,0.1,18,90,250,30,66,41.2,20.4,67.3,72.7
29.8,40.3,0.361,1.727,0.1,18,90,250,60,62.8,39.5,18.4,61.5,66.1
29.8,40.3,0.361,1.727,0.1,18,90,250,120,54.7,39.6,19.4,53.8,57.3
29.8,40.3,0.361,1.727,0.1,18,90,300,30,63.9,42.4,21.5,67.3,74.1
29.8,40.3,0.361,1.727,0.1,18,90,300,60,58.3,40.1,19.7,58,62
29.8,40.3,0.361,1.727,0.1,18,90,300,120,48.6,40.7,20.2,49.3,53.2
40.9,32.7,0.353,1.798,0.134,14.9,83.5,180,60,74.2,30.8,14.7,69.889,73.204
40.9,32.7,0.353,1.798,0.134,14.9,83.5,210,60,67.5,31.8,14.9,65.642,67.5
40.9,32.7,0.353,1.798,0.134,14.9,83.5,240,60,51.8,32.6,15.1,51.642,52.495
40.06,29.6,0.51,1.743,0.126,14.34,97.56,200,240,64,26.2,11.4,56.649,50.879
60.3,20.9,0.484,1.435,0.078,7.565,72.8,200,60,65,25.9,11.179,80.55,96.051
54.69,17.399,0.966,1.659,0.093,6.32,80,170,60,88.42,16.41,5.01,83.391,70.09
54.69,17.399,0.966,1.659,0.093,6.32,80,200,60,87.14,15.761,5.49,78.935,75.7
54.69,17.399,0.966,1.659,0.093,6.32,80,230,60,86.73,15.451,5.48,77.017,75.21
54.69,17.399,0.966,1.659,0.093,6.32,80,260,60,81.74,15.652,5.15,73.53,66.61
54.69,17.399,0.966,1.659,0.093,6.32,80,290,60,79.66,15.291,4.84,70.007,61.01
54.69,17.399,0.966,1.659,0.093,6.32,80,320,60,77.19,14.39,4.53,63.839,55.33
54.69,17.399,0.966,1.659,0.093,6.32,80,350,60,73.43,13.18,4.34,55.626,50.43
15.18,45.37,0.405,1.571,0.17,19.831,88.86,170,60,89.24,46.23,20.241,90.932,91.083
15.18,45.37,0.405,1.571,0.17,19.831,88.86,200,60,35.31,49.74,21.661,38.711,38.568
15.18,45.37,0.405,1.571,0.17,19.831,88.86,230,60,32.67,51.95,22.688,37.408,37.377
15.18,45.37,0.405,1.571,0.17,19.831,88.86,260,60,31.08,53.93,23.239,36.944,36.421
17.05,43.375,0.468,1.811,0.105,20.606,50,180,30,93.13,42.362,22.503,90.956,101.704
17.05,43.375,0.468,1.811,0.105,20.606,50,210,30,85.84,44.979,23.449,89.015,97.683
17.05,43.375,0.468,1.811,0.105,20.606,50,240,30,67.93,43.59,22.892,68.267,75.466
17.05,43.375,0.468,1.811,0.105,20.606,50,270,30,40.78,39.808,18.664,37.426,36.937
